FIPS Code;County Name;Postal State;Code
01001;AUTAUGA;AL;AUTAUGA, AL
01003;BALDWIN;AL;BALDWIN, AL
01005;BARBOUR;AL;BARBOUR, AL
01007;BIBB;AL;BIBB, AL
01009;BLOUNT;AL;BLOUNT, AL
01011;BULLOCK;AL;BULLOCK, AL
01013;BUTLER;AL;BUTLER, AL
01015;CALHOUN;AL;CALHOUN, AL
01017;CHAMBERS;AL;CHAMBERS, AL
01019;CHEROKEE;AL;CHEROKEE, AL
01021;CHILTON;AL;CHILTON, AL
01023;CHOCTAW;AL;CHOCTAW, AL
01025;CLARKE;AL;CLARKE, AL
01027;CLAY;AL;CLAY, AL
01029;CLEBURNE;AL;CLEBURNE, AL
01031;COFFEE;AL;COFFEE, AL
01033;COLBERT;AL;COLBERT, AL
01035;CONECUH;AL;CONECUH, AL
01037;COOSA;AL;COOSA, AL
01039;COVINGTON;AL;COVINGTON, AL
01041;CRENSHAW;AL;CRENSHAW, AL
01043;CULLMAN;AL;CULLMAN, AL
01045;DALE;AL;DALE, AL
01047;DALLAS;AL;DALLAS, AL
01049;DEKALB;AL;DEKALB, AL
01051;ELMORE;AL;ELMORE, AL
01053;ESCAMBIA;AL;ESCAMBIA, AL
01055;ETOWAH;AL;ETOWAH, AL
01057;FAYETTE;AL;FAYETTE, AL
01059;FRANKLIN;AL;FRANKLIN, AL
01061;GENEVA;AL;GENEVA, AL
01063;GREENE;AL;GREENE, AL
01065;HALE;AL;HALE, AL
01067;HENRY;AL;HENRY, AL
01069;HOUSTON;AL;HOUSTON, AL
01071;JACKSON;AL;JACKSON, AL
01073;JEFFERSON;AL;JEFFERSON, AL
01075;LAMAR;AL;LAMAR, AL
01077;LAUDERDALE;AL;LAUDERDALE, AL
01079;LAWRENCE;AL;LAWRENCE, AL
01081;LEE;AL;LEE, AL
01083;LIMESTONE;AL;LIMESTONE, AL
01085;LOWNDES;AL;LOWNDES, AL
01087;MACON;AL;MACON, AL
01089;MADISON;AL;MADISON, AL
01091;MARENGO;AL;MARENGO, AL
01093;MARION;AL;MARION, AL
01095;MARSHALL;AL;MARSHALL, AL
01097;MOBILE;AL;MOBILE, AL
01099;MONROE;AL;MONROE, AL
01101;MONTGOMERY;AL;MONTGOMERY, AL
01103;MORGAN;AL;MORGAN, AL
01105;PERRY;AL;PERRY, AL
01107;PICKENS;AL;PICKENS, AL
01109;PIKE;AL;PIKE, AL
01111;RANDOLPH;AL;RANDOLPH, AL
01113;RUSSELL;AL;RUSSELL, AL
01115;ST CLAIR;AL;ST CLAIR, AL
01117;SHELBY;AL;SHELBY, AL
01119;SUMTER;AL;SUMTER, AL
01121;TALLADEGA;AL;TALLADEGA, AL
01123;TALLAPOOSA;AL;TALLAPOOSA, AL
01125;TUSCALOOSA;AL;TUSCALOOSA, AL
01127;WALKER;AL;WALKER, AL
01129;WASHINGTON;AL;WASHINGTON, AL
01131;WILCOX;AL;WILCOX, AL
01133;WINSTON;AL;WINSTON, AL
02013;ALEUTIANS EAST;AK;ALEUTIANS EAST, AK
02016;ALEUTIANS WEST;AK;ALEUTIANS WEST, AK
02020;ANCHORAGE;AK;ANCHORAGE, AK
02050;BETHEL;AK;BETHEL, AK
02060;BRISTOL BAY;AK;BRISTOL BAY, AK
02068;DENALI;AK;DENALI, AK
02070;DILLINGHAM;AK;DILLINGHAM, AK
02090;FAIRBANKS NORTH STAR;AK;FAIRBANKS NORTH STAR, AK
02100;HAINES;AK;HAINES, AK
02105;HOONAH-ANGOON;AK;HOONAH-ANGOON, AK
02110;JUNEAU;AK;JUNEAU, AK
02122;KENAI PENINSULA;AK;KENAI PENINSULA, AK
02130;KETCHIKAN GATEWAY;AK;KETCHIKAN GATEWAY, AK
02150;KODIAK ISLAND;AK;KODIAK ISLAND, AK
02158;KUSILVAK;AK;KUSILVAK, AK
02164;LAKE AND PENINSULA;AK;LAKE AND PENINSULA, AK
02170;MATANUSKA-SUSITNA;AK;MATANUSKA-SUSITNA, AK
02180;NOME;AK;NOME, AK
02185;NORTH SLOPE;AK;NORTH SLOPE, AK
02188;NORTHWEST ARCTIC;AK;NORTHWEST ARCTIC, AK
02195;PETERSBURG;AK;PETERSBURG, AK
02198;PRINCE OF WALES-HYDER;AK;PRINCE OF WALES-HYDER, AK
02220;SITKA;AK;SITKA, AK
02230;SKAGWAY;AK;SKAGWAY, AK
02240;SOUTHEAST FAIRBANKS;AK;SOUTHEAST FAIRBANKS, AK
02261;VALDEZ-CORDOVA;AK;VALDEZ-CORDOVA, AK
02270;WADE HAMPTON;AK;WADE HAMPTON, AK
02275;WRANGELL;AK;WRANGELL, AK
02282;YAKUTAT;AK;YAKUTAT, AK
02290;YUKON-KOYUKUK;AK;YUKON-KOYUKUK, AK
04001;APACHE;AZ;APACHE, AZ
04003;COCHISE;AZ;COCHISE, AZ
04005;COCONINO;AZ;COCONINO, AZ
04007;GILA;AZ;GILA, AZ
04009;GRAHAM;AZ;GRAHAM, AZ
04011;GREENLEE;AZ;GREENLEE, AZ
04012;LA PAZ;AZ;LA PAZ, AZ
04013;MARICOPA;AZ;MARICOPA, AZ
04015;MOHAVE;AZ;MOHAVE, AZ
04017;NAVAJO;AZ;NAVAJO, AZ
04019;PIMA;AZ;PIMA, AZ
04021;PINAL;AZ;PINAL, AZ
04023;SANTA CRUZ;AZ;SANTA CRUZ, AZ
04025;YAVAPAI;AZ;YAVAPAI, AZ
04027;YUMA;AZ;YUMA, AZ
05001;ARKANSAS;AR;ARKANSAS, AR
05003;ASHLEY;AR;ASHLEY, AR
05005;BAXTER;AR;BAXTER, AR
05007;BENTON;AR;BENTON, AR
05009;BOONE;AR;BOONE, AR
05011;BRADLEY;AR;BRADLEY, AR
05013;CALHOUN;AR;CALHOUN, AR
05015;CARROLL;AR;CARROLL, AR
05017;CHICOT;AR;CHICOT, AR
05019;CLARK;AR;CLARK, AR
05021;CLAY;AR;CLAY, AR
05023;CLEBURNE;AR;CLEBURNE, AR
05025;CLEVELAND;AR;CLEVELAND, AR
05027;COLUMBIA;AR;COLUMBIA, AR
05029;CONWAY;AR;CONWAY, AR
05031;CRAIGHEAD;AR;CRAIGHEAD, AR
05033;CRAWFORD;AR;CRAWFORD, AR
05035;CRITTENDEN;AR;CRITTENDEN, AR
05037;CROSS;AR;CROSS, AR
05039;DALLAS;AR;DALLAS, AR
05041;DESHA;AR;DESHA, AR
05043;DREW;AR;DREW, AR
05045;FAULKNER;AR;FAULKNER, AR
05047;FRANKLIN;AR;FRANKLIN, AR
05049;FULTON;AR;FULTON, AR
05051;GARLAND;AR;GARLAND, AR
05053;GRANT;AR;GRANT, AR
05055;GREENE;AR;GREENE, AR
05057;HEMPSTEAD;AR;HEMPSTEAD, AR
05059;HOT SPRING;AR;HOT SPRING, AR
05061;HOWARD;AR;HOWARD, AR
05063;INDEPENDENCE;AR;INDEPENDENCE, AR
05065;IZARD;AR;IZARD, AR
05067;JACKSON;AR;JACKSON, AR
05069;JEFFERSON;AR;JEFFERSON, AR
05071;JOHNSON;AR;JOHNSON, AR
05073;LAFAYETTE;AR;LAFAYETTE, AR
05075;LAWRENCE;AR;LAWRENCE, AR
05077;LEE;AR;LEE, AR
05079;LINCOLN;AR;LINCOLN, AR
05081;LITTLE RIVER;AR;LITTLE RIVER, AR
05083;LOGAN;AR;LOGAN, AR
05085;LONOKE;AR;LONOKE, AR
05087;MADISON;AR;MADISON, AR
05089;MARION;AR;MARION, AR
05091;MILLER;AR;MILLER, AR
05093;MISSISSIPPI;AR;MISSISSIPPI, AR
05095;MONROE;AR;MONROE, AR
05097;MONTGOMERY;AR;MONTGOMERY, AR
05099;NEVADA;AR;NEVADA, AR
05101;NEWTON;AR;NEWTON, AR
05103;OUACHITA;AR;OUACHITA, AR
05105;PERRY;AR;PERRY, AR
05107;PHILLIPS;AR;PHILLIPS, AR
05109;PIKE;AR;PIKE, AR
05111;POINSETT;AR;POINSETT, AR
05113;POLK;AR;POLK, AR
05115;POPE;AR;POPE, AR
05117;PRAIRIE;AR;PRAIRIE, AR
05119;PULASKI;AR;PULASKI, AR
05121;RANDOLPH;AR;RANDOLPH, AR
05123;ST FRANCIS;AR;ST FRANCIS, AR
05125;SALINE;AR;SALINE, AR
05127;SCOTT;AR;SCOTT, AR
